"NombreMunicipio","CodigoMunicipio","Ubicacion","NombreRegion","CodigoRegion","Año","NumeroCasos","TasaXMilHabitantes"
"Cocorná","05197","POINT (-75.185273 6.057769)","ORIENTE","7","2007","88","4.8"
"Concepción","05206","POINT (-75.259425 6.394975)","ORIENTE","7","2007","26","4.9"
"Concordia","05209","POINT (-75.907256 6.046154)","SUROESTE","8","2007","108","5"
"Copacabana","05212","POINT (-75.508181 6.346097)","VALLE DE ABURRA","1","2007","335","5.1"
"Dabeiba","05234","POINT (-76.266682 7.001567)","OCCIDENTE","6","2007","117","5.2"
"Donmatías","05237","POINT (-75.394608 6.486305)","NORTE","5","2007","99","6"
"Ebéjico","05240","POINT (-75.768514 6.326468)","OCCIDENTE","6","2007","54","4"
"El Bagre","05250","POINT (-74.812977 7.60005)","BAJO CAUCA","2","2007","163","4"
"El Carmen de Viboral","05148","POINT (-75.335351 6.083283)","ORIENTE","7","2007","155","3.1"
"El Peñol","05541","POINT (-75.161743 6.234274)","ORIENTE","7","2007","116","6.2"
"El Retiro","05607","POINT (-75.502683 6.057336)","ORIENTE","7","2007","81","4.2"
"El Santuario","05697","POINT (-75.265676 6.139528)","ORIENTE","7","2007","160","5.1"
"Entrerríos","05264","POINT (-75.517037 6.567385)","NORTE","5","2007","35","3.8"
"Envigado","05266","POINT (-75.587333 6.16996)","VALLE DE ABURRA","1","2007","826","4.5"
"Fredonia","05282","POINT (-75.671749 5.927145)","SUROESTE","8","2007","128","5.3"
